split_type,feature_set,n_features,model,train_size,test_size,accuracy,precision,recall,f1_score
stratified_random,relative_coords,6,Random Forest,13241,3311,0.9785563273935367,0.9786051551330354,0.9785563273935367,0.978573261223867
stratified_random,relative_coords,6,SVM,13241,3311,0.8106312292358804,0.8081708571690789,0.8106312292358804,0.805686730400508
stratified_random,relative_coords,6,Gradient Boosting,13241,3311,0.8616732105104198,0.8596370816919605,0.8616732105104198,0.8570865070715858
stratified_random,relative_coords,6,K-Nearest Neighbors,13241,3311,0.9655693144065237,0.9655213728404356,0.9655693144065237,0.9655361944779722
stratified_random,relative_coords,6,Neural Network,13241,3311,0.8553307157958321,0.8577673553244338,0.8553307157958321,0.856313556851551
stratified_random,coords_distances,10,Random Forest,13241,3311,0.9773482331621867,0.9773506492779062,0.9773482331621867,0.9773459910520115
stratified_random,coords_distances,10,SVM,13241,3311,0.8429477499244941,0.8405949412149386,0.8429477499244941,0.8406523238079806
stratified_random,coords_distances,10,Gradient Boosting,13241,3311,0.8867411658109332,0.886198482667992,0.8867411658109332,0.8844114841647711
stratified_random,coords_distances,10,K-Nearest Neighbors,13241,3311,0.945031712473573,0.9450202022046682,0.945031712473573,0.9450161441617928
stratified_random,coords_distances,10,Neural Network,13241,3311,0.8480821504077318,0.857961389388548,0.8480821504077318,0.8506885209099654
stratified_random,all_features,12,Random Forest,13241,3311,0.9824826336454243,0.982512821591728,0.9824826336454243,0.9824865852804241
stratified_random,all_features,12,SVM,13241,3311,0.8734521292660827,0.8722378815150352,0.8734521292660827,0.872662744537412
stratified_random,all_features,12,Gradient Boosting,13241,3311,0.8927816369676835,0.8921380399855959,0.8927816369676835,0.891591114660887
stratified_random,all_features,12,K-Nearest Neighbors,13241,3311,0.9522802778616732,0.9524934126264479,0.9522802778616732,0.9523659433100734
stratified_random,all_features,12,Neural Network,13241,3311,0.8891573542736333,0.8910210491957306,0.8891573542736333,0.8898661783220366
