split_type,feature_set,n_features,model,train_size,test_size,train_blocks,test_blocks,block_size,accuracy,precision,recall,f1_score
temporal_blocks,relative_coords,6,Random Forest,12417,2905,831,195,15,0.9101549053356283,0.9098983741864969,0.9101549053356283,0.9085799745286802
temporal_blocks,relative_coords,6,SVM,12417,2905,831,195,15,0.8265060240963855,0.8252878828508837,0.8265060240963855,0.8214764795687511
temporal_blocks,relative_coords,6,Gradient Boosting,12417,2905,831,195,15,0.8454388984509467,0.8454380890659889,0.8454388984509467,0.8393433480787822
temporal_blocks,relative_coords,6,K-Nearest Neighbors,12417,2905,831,195,15,0.9118760757314974,0.9111065223007296,0.9118760757314974,0.910459207907023
temporal_blocks,relative_coords,6,Neural Network,12417,2905,831,195,15,0.832013769363167,0.8308626157838334,0.832013769363167,0.8312603555874359
temporal_blocks,coords_distances,10,Random Forest,12417,2905,831,195,15,0.9132530120481928,0.9134017394902268,0.9132530120481928,0.9116507821804547
temporal_blocks,coords_distances,10,SVM,12417,2905,831,195,15,0.8392426850258176,0.8371202388574966,0.8392426850258176,0.8367365924416124
temporal_blocks,coords_distances,10,Gradient Boosting,12417,2905,831,195,15,0.8729776247848537,0.8730733902587118,0.8729776247848537,0.8701171260991719
temporal_blocks,coords_distances,10,K-Nearest Neighbors,12417,2905,831,195,15,0.8967297762478486,0.895410729340649,0.8967297762478486,0.8954674083780332
temporal_blocks,coords_distances,10,Neural Network,12417,2905,831,195,15,0.86815834767642,0.8675707311798543,0.86815834767642,0.8673796781922791
temporal_blocks,all_features,12,Random Forest,12417,2905,831,195,15,0.9356282271944922,0.9365997968818314,0.9356282271944922,0.9346446640969727
temporal_blocks,all_features,12,SVM,12417,2905,831,195,15,0.8819277108433735,0.8807711838320353,0.8819277108433735,0.8801941804383725
temporal_blocks,all_features,12,Gradient Boosting,12417,2905,831,195,15,0.8898450946643718,0.8892851742710937,0.8898450946643718,0.8883443237471736
temporal_blocks,all_features,12,K-Nearest Neighbors,12417,2905,831,195,15,0.9087779690189329,0.9091090536959653,0.9087779690189329,0.9064377697163862
temporal_blocks,all_features,12,Neural Network,12417,2905,831,195,15,0.889500860585198,0.8946277519485141,0.889500860585198,0.8904345453358712
